0,1,2,3,4,5,6,7,8,9
74.5209,74.9025,74.84,92.1392,73.8096,91.3789,91.578,91.5553,91.4288,91.4594
68.8702,69.224,69.1585,76.0641,68.0263,75.7623,75.9037,75.8313,75.7713,75.7736
64.0406,64.3007,64.2429,75.7437,63.1897,75.3702,75.4983,75.443,75.3835,75.3894
61.2658,61.3527,61.2972,83.402,60.2069,82.5677,82.7448,82.754,82.6257,82.6629
57.259,57.2244,57.1744,74.4649,56.1237,73.8889,74.0235,74.0044,73.9218,73.942
53.9736,53.8997,53.8557,72.8473,53.0097,72.2659,72.3831,72.3678,72.2966,72.3154
48.2005,48.2499,48.2102,57.3734,47.332,57.2021,57.2611,57.2031,57.1957,57.1891
50.573,50.6706,50.6289,50.3264,49.7949,50.7714,50.7569,50.6143,50.7017,50.6512
49.5804,49.6609,49.6211,49.1646,48.8367,49.5094,49.5097,49.3874,49.4541,49.4134
49.1378,49.2022,49.1632,47.7776,48.3938,48.0731,48.0854,47.975,48.0267,47.9923
49.1584,49.2324,49.1938,49.2404,48.4535,49.579,49.5816,49.4601,49.5245,49.4844
52.4659,52.4932,52.4513,50.883,51.6163,51.1893,51.2091,51.0907,51.1411,51.1054
53.6485,54.1657,54.1183,53.087,53.2944,53.4304,53.4582,53.3264,53.377,53.3372
74.5431,75.4841,75.4142,75.3356,74.1703,75.8945,75.9295,75.7231,75.8078,75.7434
79.6888,81.4602,81.3832,80.885,80.0848,81.4813,81.5276,81.3021,81.3884,81.3197
67.7297,69.6278,69.5636,70.4985,68.5396,71.055,71.0829,70.8798,70.9672,70.9026
66.3616,68.5117,68.4513,69.8792,67.4276,70.4064,70.4278,70.234,70.322,70.26
62.3385,64.5806,64.5255,65.5947,63.6748,66.0337,66.0587,65.8926,65.9638,65.9122
57.0035,58.6978,58.6489,58.6534,57.8416,59.0105,59.0419,58.8999,58.9541,58.912
56.174,56.1862,56.1422,58.0015,55.0294,58.3612,58.3739,58.2324,58.3007,58.2563
54.9131,54.9089,54.8673,55.6126,53.8205,55.9399,55.9554,55.8226,55.8853,55.8444
50.7678,50.6842,50.6476,51.8949,49.7446,52.1966,52.2047,52.0828,52.1453,52.1075
48.284,48.2063,48.1709,48.4704,47.237,48.7477,48.7577,48.6444,48.7009,48.6662
48.058,48.0821,48.0463,48.4864,47.0956,48.8047,48.812,48.6893,48.7517,48.713
67.0664,67.1055,67.0528,67.0224,65.6489,67.4546,67.4793,67.3069,67.3832,67.3307
